File Name,Quantity List
SHIITAKE_(Lentinus_edodes_Sing.)_9330.html,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '4.6', -1, '7.5', -1, '113', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '13', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '27', '45', -1, '2.3', -1, '1.6', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
MUSCATEL_TRUFFLE_(Tuber_brumale_var._Moschatum)_19890.html,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
BURGUNDY_TRUFFLE_(Tuber_uncinatum)_19830.html,"[-1, '0.52\xa0—\xa00.69', '3.17\xa0—\xa06.83', '11.19\xa0—\xa012.42', '0.69\xa0—\xa01.69', '0.19\xa0—\xa00.23', '0.19\xa0—\xa01.6', -1, -1, '0.04\xa0—\xa00.17', '0.02\xa0—\xa00.13', '0.06\xa0—\xa00.87', '0.253\xa0—\xa01.4', -1, '0.0006', '0.0016', '0.0031', '0.000048', '0.0044', -1, '2.65\xa0—\xa03.33', '0.02\xa0—\xa00.29', '3.55', '1.13', '0.05\xa0—\xa00.13', '0.15\xa0—\xa00.26', '1.1\xa0—\xa01.94', '0.011\xa0—\xa00.14', -1, -1, '0.02', '0.0073', '0.11', '0.028', -1, -1, -1, -1, -1, '3.2', -1, -1, -1, -1, -1, '0.194', '0.03\xa0—\xa00.07', '0.03\xa0—\xa00.05', '0.0004', '0.08\xa0—\xa00.12', '0.215', -1, -1, '0.001', -1, -1, '0.018']"
BAGNOLI_or_LORRAINE_TRUFFLE_(Tuber_mesentericum)_19870.html,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
CHAMPIGNON_(Agaricus_bisporus)_9341.html,"[-1, -1, -1]"
MATSUTAKE_(Tricholoma_matsutake)_14600.html,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
BLACK_TRUFFLE_(Tuber_melanosporum)_19810.html,"['0.25\xa0—\xa00.31', '0.09\xa0—\xa00.14', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '700', '12.8', -1, '0.61\xa0—\xa047.4', -1, -1, '1.77\xa0—\xa03.13', '0.432\xa0—\xa039.3', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '0.4', -1, -1, '0.275\xa0—\xa00.3', -1, '1.8', -1, -1, -1, -1, '2.2\xa0—\xa03.4', '0.0421', -1, -1, -1, '1.77\xa0—\xa02.94', '0.79\xa0—\xa01.02', -1, '1.09\xa0—\xa01.56', -1, '0.04\xa0—\xa00.09', -1, -1, -1, '0.008', -1, -1, -1, -1, -1, '0.31\xa0—\xa02.09', -1, '0.1\xa0—\xa00.88', -1, '0.005', -1, -1, -1, -1, -1, '0.005', -1, -1, -1, -1, -1, -1, '0.005', '0.51\xa0—\xa02.98', '0.03\xa0—\xa00.29', -1, -1, -1, -1, -1, -1, -1, -1, -1, '0.005', -1, -1, -1, -1, -1, -1, -1, -1, -1, '0.864', -1, -1, -1, -1, -1, -1, -1, -1, '245', -1, '0.005', '0.185\xa0—\xa08', -1, -1, '0.02\xa0—\xa00.03', '0.06\xa0—\xa00.09', -1, -1, -1, '0.005', '0.01', '0.01', '0.004', '1\xa0—\xa02', '1.2', '0.004', '18', '2.5', -1, -1, -1, -1, -1, -1, '0.005', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '0.14\xa0—\xa00.17', -1, '0.005']"
TUBER_panniferum_19895.html,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
DESERT_TRUFFLE_(Terfeziaceae)_29800.html,"['0.01\xa0—\xa00.12', '<0.01\xa0—\xa00.52', '0.01\xa0—\xa00.24', '0.01\xa0—\xa00.18', '0.01\xa0—\xa00.26', '0.01\xa0—\xa04.36', '7.85\xa0—\xa062.99', '0.01\xa0—\xa00.19', '0.01\xa0—\xa04.53', '0.13\xa0—\xa020.39', '0.26\xa0—\xa09.39', '0.09\xa0—\xa06.74', '0.01\xa0—\xa00.18', '0.68\xa0—\xa024.29', '0.01\xa0—\xa00.12', '0.03\xa0—\xa00.61', '0.13\xa0—\xa02.92', '0.01\xa0—\xa00.04', '0.21\xa0—\xa02.55', '0.06\xa0—\xa01.04', '0.01\xa0—\xa00.62', '0.01\xa0—\xa01.42', '0.01\xa0—\xa08.55', '0.01\xa0—\xa04.62', '0.01\xa0—\xa00.04', '0.04\xa0—\xa00.55', '0.09\xa0—\xa00.91', '0.01\xa0—\xa00.36', '0.01\xa0—\xa00.16', '0.01\xa0—\xa00.73', '0.05\xa0—\xa02.25']"
CHESTNUT_FLOWER_27470.html,"['100', '17000', '1100', '10000', '<100', '<100', '3000', '1800', '<100', '<100', '<100', '6100', '<100', '8600', '65000', '85000', '1100', '79000', '318000', '122000', '8500', '39000', '1600', '<100', '<100', '<100', '1000', '28000', '<100', '1100', '<100', '<100', '<100', '3800', '<100', '2000', '<100', '100', '1500', '<100', '4100', '<100', '<100', '<100', '2800', '2500', '9100', '9100', '<100', '<100', '<100']"
