CAS Number,Compound Name
122-39-4,diphenylamine (=N-phenylaniline)
5650-10-2,4-isopropyl-N-phenylaniline
92195-46-5,N-(3-methylbutylidene)phenethylamine
3240-95-7,N-benzylidenephenethylamine
780-25-6,N-(phenylmethylene)-N-benzylamine
,N-phenethyl[(2-pyrrolyl)methylene]amine
,N-[(5-methyl-2-pyrrolyl)methylene]phenethylamine
,N-(2-furfurylidene)phenethylamine
,N-(5-methyl-2-furfurylidene)phenethylamine
555-96-4,benzylhydrazine
624-84-0,formic acid hydrazide
530-50-7,"1,1-diphenylhydrazine"
60-34-4,methylhydrazine
540-73-8,"1,2-dimethylhydrazine"
85236-72-2,"4,5-dimethyl-1,3-dioxolane-2-propanamine"
306-60-5,(4-aminobutyl)guanidine (=agmatine)
10111-08-7,2-imidazolecarbaldehyde (=2-formylimidazole)
930-52-9,2-ethyl-2-imidazoline
534-26-9,2-methyl-2-imidazoline
51-45-6,histamine
5851-43-4,2-isopropylbenzimidazole
503-29-7,azetidine
123-75-1,pyrrolidine
120-94-5,1-methylpyrrolidine
7335-06-0,1-ethylpyrrolidine
767-10-2,1-butylpyrrolidine
58501-92-1,"3-ethyl-4-methylpyrrolidine-2,5-dione"
145398-84-1,"1-(2,4-decadienoyl)pyrrolidine"
117137-69-6,"(E,E)-1-(2,4-dodecadienoyl)pyrrolidine"
145398-91-0,"1-[5-(1,3-benzodioxol-5-yl)-2-pentenoyl]pyrrolidine"
25924-78-1,piperyline
145427-76-5,"1-[7-(1,3-benzodioxol-5-yl)-6-heptenoyl]pyrrolidine"
,"1-[7-(1,3-benzodioxol-5-yl)-heptadienoyl]pyrrolidine (unkn.str.)"
62510-52-5,"1-[9-(1,3-benzodioxol-5-yl)-8-nonenoyl]pyrrolidine"
616-45-5,2-pyrrolidone (=γ-butyrolactam)
872-50-4,1-methyl-2-pyrrolidone
2687-91-4,1-ethyl-2-pyrrolidone
3470-99-3,1-propyl-2-pyrrolidone
4030-18-6,1-acetylpyrrolidine
105-60-2,6-hexalactam
1121-92-2,azacyclooctane
1121-07-9,N-methylsuccinimide
2314-78-5,N-ethylsuccinimide
15542-96-8,"N,2-dimethylsuccinimide"
60169-67-7,ethyl prolinate
15454-75-8,2-pyrrolidone-5-carboxylic acid (=pyroglutamic acid)
,ethyl 2-pyrrolidone-5-carboxylate
5724-81-2,1-pyrroline
109-96-6,3-pyrroline
28350-87-0,pyrroline (unkn.str.)
85213-22-5,2-acetyl-1-pyrroline
133447-37-7,2-propionylpyrroline
133447-38-8,2-butanoyl-1-pyrroline
133447-39-9,2-hexanoyl-1-pyrroline
17825-86-4,"2,3-dimethylmaleimide"
20189-42-8,"2-ethyl-3-methylmaleimide (=3-ethyl-4-methyl-1H-pyrrole-2,5-dione)"
109-97-7,pyrrole
96-54-8,1-methylpyrrole
636-41-9,2-methylpyrrole
27417-39-6,methylpyrrole (unkn.str.)
617-92-5,1-ethylpyrrole
1551-06-0,2-ethylpyrrole
92933-61-4,ethylpyrrole (unkn.str.)
7057-97-8,1-propylpyrrole
589-33-3,1-butylpyrrole
1551-10-6,2-butylpyrrole
20884-13-3,1-isobutylpyrrole
