CAS Number,Compound Name
,davana furan
10599-57-2,"2,3,4-trimethylfuran"
10504-04-8,"2,3,5-trimethylfuran"
74430-19-6,trimethylfuran (unkn.str.)
90024-12-7,ethyl-dimethylfuran (unkn.str.)
59417-63-9,"2,3-dimethyl-5-vinylfuran"
59417-62-8,"3,5-dimethyl-2-vinylfuran"
125972-38-5,dimethyl-2-vinylfuran (unkn.str.)
13679-41-9,3-phenylfuran
38890-45-8,phenylfuran (unkn.str.)
,3-methyl-2-[3-(4-methylphenyl)butyl]furan
5905-00-0,"2,2'-bifuran (=2-(2-furyl)furan, di-(2-furyl))"
17490-66-3,"5,5'-dimethyl-2,2'-bifuran"
27521-86-4,"2,3'-bifuran"
13803-57-1,"3,3'-bifuran (=di-(3-furyl))"
37294-47-6,bifuran (unkn.str.) (=difuryl (unkn.str.))
1197-40-6,"2,2'-methylenebisfuran (=2,2-difurylmethane)"
107716-11-0,"2,3'-methylenebisfuran"
146699-68-5,"3,3'-methylenebisfuran"
,difurylmethane (unkn.str.)
18266-93-8,"(Z)-2,2'-(vinylene)bisfuran"
1439-19-6,"(E)-2,2'-(vinylene)bisfuran"
13678-51-8,"5-methyl-2,2'-methylenebisfuran (=(2-furyl)-(5-methylfuryl-2)methane)"
,"5-methyl-3,3'-methylenebisfuran"
13679-43-1,"5,5'-dimethyl-2,2'-methylenebisfuran"
64280-32-6,"2,4-difurfurylfuran"
496-16-2,"2,3-dihydrobenzofuran (=coumaran)"
1746-11-8,"2,3-dihydro-2-methylbenzofuran"
70786-44-6,"3,9-epoxy-1-menthene (=2,3,3a,4,5,7a-hexahydro-3,6-dimethylbenzofuran, dill ether)"
74410-10-9,"(3S,3aS,7aR)-2,3,3a,4,5,7a-hexahydro-3,6-dimethylbenzofuran (=anethofuran, (3S,3aS,7aR)-dill ether)"
,"(3R,3aR,7aS)-2,3,3a,4,5,7a-hexahydro-3,6-methylbenzofuran (=(3R,3aR,7aS)-dill ether)"
13955-48-1,"(3R,4S,8R)-3,9-epoxy-1-p-menthene"
125811-37-2,linden ether
959304-04-2,"octahydro-3,6-bis(methylene)benzofuran"
271-89-6,benzofuran
4265-25-2,2-methylbenzofuran
17059-52-8,7-methylbenzofuran
25586-38-3,methylbenzofuran (unkn.str.)
3131-63-3,2-ethylbenzofuran
53715-85-8,"2,4-dimethylbenzofuran"
24410-51-3,"2,6-dimethylbenzofuran"
24410-50-2,"3,6-dimethylbenzofuran"
28715-26-6,"4,7-dimethylbenzofuran"
25586-39-4,dimethylbenzofuran (unkn.str.)
7168-85-6,7-methoxybenzofuran
,"(R)-1-(1,3,4,5,6,7-hexahydro-7,7-dimethyl-1-isobenzofuranyl)-2-propanol"
,"(S)-1-(1,3,4,5,6,7-hexahydro-7,7-dimethyl-1-isobenzofuranyl)-2-propanol"
,"(Z)-3-(tetrahydro-5,5-dimethyl-2-furyl)-2-buten-1-ol"
17092-94-3,"actinidol (=2,4,5,7a-tetrahydro-α,4,4,7a-tetramethyl-2-benzofuranmethanol)"
17910-09-7,isofuranogermacrene (=curzerene)
20013-75-6,pyrocurzerenone
,dillfuran
494-90-6,menthofuran
17957-94-7,(R)-(+)-menthofuran
,menthofuran oxide
,dihydroxymenthofuran oxide (unkn.str.)
132-64-9,dibenzofuran
98-01-1,2-furfural
498-60-2,"3-furancarbaldehyde (=3-formylfuran, 3-furaldehyde)"
,methylfurfural (unkn.str.)
33342-48-2,3-methylfurfural
33342-49-3,4-methylfurfural
620-02-0,5-methylfurfural
23074-10-4,5-ethylfurfural
68532-62-7,5-pentylfurfural
21300-07-2,5-methoxyfurfural
67-47-0,5-(hydroxymethyl)furfural
79925-83-0,"3,5-dimethylfurfural"
106100-49-6,dimethylfurfural (unkn.str.)
116557-17-6,"3,4,5-trimethyl-2-furfural (=5-trimethylfurfural)"
1917-65-3,5-(ethoxymethyl)furfural
10551-58-3,5-(acetoxymethyl)-furfural
15022-16-9,2-furanacetaldehyde
53447-48-6,lilac aldehyde C
53447-47-5,lilac aldehyde D
51685-39-3,(+/-)-2-(5-methyl-5-vinyltetrahydrofuran-2-yl)propanal (=lilac aldehyde)
4543-51-5,2-furanpropanal
623-30-3,3-(2-furyl)-2-propenal
39511-08-5,(E)-3-(2-furyl)-2-propenal
874-66-8,3-(2-furyl)-2-methyl-2-propenal
,(Z)-2-methyl-3-(2-furyl)acrolein
108576-21-2,(E)-3-(2-furanyl)-2-methyl-2-propenal (= (E)-2-methyl-3-(2-furyl)acrolein )
5555-90-8,3-(5-methyl-2-furyl)-2-propenal
79925-84-1,2-(ethoxymethyl)-3-(2-furyl)-2-propenal
,(Z)-6-(2-furyl)-4-hexenal
,(E)-6-(2-furyl)-4-hexenal
823-82-5,"2,5-furandicarbaldehyde"
3188-00-9,2-methyldihydro-3(2H)-furanone
,methyldihydro-3(2H)-furanone (unkn.str.)
156318-46-6,5-(Z)-(1-octenyl)-2(3H)-dihydrofuranone
5145-01-7,"3,5-dimethyldihydro-2(3H)-furanone"
10230-62-3,"2,4-dihydroxy-2,5-dimethyl-3(2H)-furan-3-one"
64026-45-5,"2,5-dimethyl-3(2H)-dihydrofuranone"
15833-84-8,"4,4-dimethyl-3(2H)-dihydrofuranone"
,"4,5-dimethyl-(2H,5H)-dihydrofuran-2,3-dione"
25252-64-6,2-acetyltetrahydrofuran
56469-36-4,trans-arbusculone
56469-37-5,cis-arbusculone
497-23-4,"2(5H)-furanone (=crotonolactone, 2-buten-4-olide, 4-hydroxy-2-butenoic acid lactone)"
20825-71-2,2(3H)-furanone (=4-hydroxy-3-butenoic acid lactone)
35214-62-1,3-methoxy-2(5H)-furanone (=2-methoxy-2-buten-4-olide)
22122-36-7,3-methyl-2(5H)-furanone
6124-79-4,4-methyl-2(5H)-furanone
591-11-7,"5-methyl-2(5H)-furanone (=β-angelica lactone, 4-methyl-2-butenolide)"
25414-24-8,3-methyl-2(3H)-furanone
591-12-8,"5-methyl-2(3H)-furanone (=4-hydroxy-3-pentenoic acid lactone, α-angelica lactone)"
108-28-1,5-methylene-2(5H)-furanone
2313-01-1,5-ethyl-2(3H)-furanone (=4-hydroxy-3-hexenoic acid lactone)
2407-43-4,"5-ethyl-2(5H)-furanone (=4-ethyl-2-butenolide, 2-hexen-4-olide)"
21963-26-8,"5-pentyl-2(5H)-furanone (=2-nonen-4-olide, 4-pentyl-2-butenolide)"
28664-35-9,"sotolone (=3-hydroxy-4,5-dimethyl-2(5H)-furanone)"
698-10-2,5-ethyl-3-hydroxy-4-methyl-2(5H)-furanone (=abhexone)
1575-46-8,"3,4-dimethyl-2(5H)-furanone"
5584-69-0,"3,5-dimethyl-2(5H)-furanone"
10547-85-0,"4,5-dimethyl-2(5H)-furanone"
20019-64-1,"5,5-dimethyl-2(5H)-furanone (=4,4-dimethyl-2-buten-1,4-olide)"
95326-09-3,"3,4,5-trimethyl-2(3H)-furanone"
33488-51-6,"3,4,5-trimethyl-2(5H)-furanone"
50598-50-0,"3,5,5-trimethyl-2(5H)-furanone"
79379-60-5,"5-ethyl-3,4-dimethyl-2(5H)-furanone"
87259-01-6,"3,4-dimethyl-5-propyl-2(5H)-furanone"
,5-methyl-[2-(furanyl)methyl]- 2(5H)-furanone (unkn.str.)
41763-99-9,2-methyl-3(2H)-furanone
3511-32-8,5-methyl-3(2H)-furanone
27538-10-9,2-ethyl-4-hydroxy-5-methyl-3(2H)-furanone
27538-09-6,5-ethyl-4-hydroxy-2-methyl-3(2H)-furanone
37713-48-7,"2,4-dimethyl-3(2H)-furanone"
14400-67-0,"2,5-dimethyl-3(2H)-furanone"
33922-66-6,2-hexyl-5-methyl-3(2H)-furanone
57877-72-2,5-methyl-2-octyl-3(2H)-furanone
19322-27-1,norfuraneol (= 4-hydroxy-5-methyl-3(2H)-furanone )
64880-73-5,"2,4,5-trimethyl-3(2H)-furanone"
3658-77-3,furaneol
131222-82-7,"(R)-4-hydroxy-2,5-dimethyl-3(2H)-furanone (=(R)-furaneol)"
131222-81-6,"(S)-4-hydroxy-2,5-dimethyl-3(2H)-furanone (=(S)-furaneol)"
4077-47-8,"4-methoxy-2,5-dimethyl-3(2H)-furanone (=mesifurane)"
131222-76-9,"(R)-4-methoxy-2,5-dimethyl-3(2H)-furanone (=(R)-mesifurane)"
131222-75-8,"(S)-4-methoxy-2,5-dimethyl-3(2H)-furanone (=(S)-mesifurane)"
65330-49-6,"4-ethoxy-2,5-dimethyl-3(2H)-furanone"
