CAS Number,Compound Name
131-99-7,inosinic acid
58-63-9,inosine
85-32-5,Guanilic acid
118-00-3,guanosine
63-37-6,cytidinemonofosfaat
58-97-9,5'-UMP
56-65-5,5'-ATP
58-64-0,5'-ADP
58-96-8,Uridine
61-19-8,"Adenosine monophosphate; monosodium, or disodium adenylate"
65-46-3,cytidine
58-61-7,adenosine
84-21-9,3'-AMP
130-49-4,2'-AMP
2457-80-9,5'-methylthioadenosine
117-68-0,3'-GMP
68-94-0,Hypoxanthine
58-08-2,Caffeine
83-67-0,theobromine
