CAS Number,Compound Name
106-41-2,4-bromophenol
615-58-7,"2,4-dibromophenol"
608-33-3,"2,6-dibromophenol"
118-79-6,"2,4,6-tribromophenol"
533-58-4,2-iodophenol
617-88-9,2-(chloromethyl)furan
,"1,3,3-tribromo-1,2-epoxypropane"
,"(E)-1,3,3-tribromo-1,2-epoxypropane"
75-69-4,trichlorofluoromethane
50906-52-0,oppositol
