CAS Number,Compound Name
2050-03-5,4-tert-pentylanisole
20056-59-1,1-methoxy-2-octylbenzene (=o-octylanisol)
51279-50-6,acetylmethoxybenzene (unkn.str.) (=acetylanisole)
16510-27-3,1-(cyclopropanemethyl)-4-methoxybenzene
622-60-6,1-ethoxy-4-methylbenzene
54191-22-9,1-isopropoxy-4-methylbenzene (=p-cresyl isopropyl ether)
2052-13-3,1-butoxy-2-methylbenzene
6302-60-9,"4-(3,4-dimethoxyphenyl)-2-butanone (=methylzingerone)"
104-20-1,"1-methoxy-4-(3-oxobutyl)benzene (=anisylacetone, bramble ketone)"
6738-23-4,"1-methoxy-2,4-dimethylbenzene"
1076-56-8,"1-isopropyl-2-methoxy-4-methylbenzene (=methyl thymyl ether, methylthymol)"
,isopropyl-methoxy-methylbenzene (unkn.str.) (=methoxy-cymene (unkn.str.))
4028-66-4,"2-methoxy-1,3,5-trimethylbenzene"
20469-61-8,"1-methoxy-2,3,5-trimethylbenzene"
14753-08-3,"1-isopropyl-2,5-dimethoxy-4-methylbenzene (=2,5-dimethoxy-p-cymene)"
2216-69-5,1-methoxynaphthalene
57982-68-0,methoxynaphthalene (unkn.str.)
120-80-9,"1,2-benzenediol (=pyrocatechol, catechol and catechin)"
501-36-0,trans-resveratrol
61434-67-1,cis-resveratrol
108-46-3,"1,3-benzenediol (=resorcinol)"
123-31-9,"1,4-benzenediol (=hydroquinone)"
12385-08-9,benzenediol (unkn.str.)
488-17-5,"3-methyl-1,2-benzenediol"
452-86-8,"4-methyl-1,2-benzenediol"
496-73-1,"4-methyl-1,3-benzenediol"
504-15-4,"5-methyl-1,3-benzenediol"
933-99-3,"3-ethyl-1,2-benzenediol"
1124-39-6,"4-ethyl-1,2-benzenediol"
2896-60-8,"4-ethyl-1,3-benzenediol"
6053-02-7,"4-vinyl-1,2-benzenediol"
69845-49-4,"dimethyl-1,2-benzenediol (unkn.str.)"
490-06-2,"3-isopropyl-6-methyl-1,2-benzenediol (=cymopyrocatechol)"
2217-60-9,"2-isopropyl-5-methyl-1,4-benzenediol (=thymohydroquinone)"
90-01-7,2-hydroxybenzenemethanol
620-24-6,3-hydroxybenzenemethanol
90-05-1,2-methoxyphenol (=guaiacol)
150-19-6,3-methoxyphenol
150-76-5,4-methoxyphenol (=p-guaiacol)
26638-03-9,methoxyphenol (unkn.str.)
18979-50-5,4-propoxyphenol
93-51-6,"2-methoxy-4-methylphenol (=4-methylguaiacol, creosol)"
1195-09-1,5-methyl-2-methoxyphenol
2896-67-5,2-methoxy-6-methylphenol (=6-methylguaiacol)
,ethyl-2-methoxyphenol (unkn.str.) (=ethylguaiacol (unkn.str.))
32391-38-1,methoxy-methylphenol (unkn.str.)
2785-89-9,4-ethyl-2-methoxyphenol (=4-ethylguaiacol)
90534-46-6,2-ethyl-6-methoxyphenol (=6-ethylguaiacol)
80652-16-0,ethyl-methoxyphenol (unkn.str.)
7786-61-0,2-methoxy-4-vinylphenol (=4-vinylguaiacol)
621-58-9,5-vinyl-2-methoxyphenol
33907-13-0,2-methoxyvinylphenol (unkn.str.) (=vinylguaiacol (unkn.str))
53587-16-9,4-isopropyl-2-methoxyphenol (=4-isopropylguaiacol)
2785-87-7,2-methoxy-4-propylphenol (=4-propylguaiacol)
97-53-0,eugenol
19784-98-6,(E)-2-methoxy-5-(1-propenyl)phenol (=(E)-isochavibetol)
501-19-9,5-allyl-2-methoxyphenol (=chavibetol)
97-54-1,isoeugenol (=2-methoxy-4-(1-propenyl)-phenol)
5912-86-7,(Z)-isoeugenol (=(Z)-2-methoxy-4-(1-propenyl)-phenol)
5932-68-3,(E)-isoeugenol (=(E)-2-methoxy-4-(1-propenyl)-phenol)
156468-04-1,methoxypropenylphenol (unkn.str.)
53894-31-8,tert-butyl-2-methoxyphenol (unkn.str.)
121-00-6,2-tert-butyl-4-methoxyphenol (=B.H.A.)
2305-13-7,dihydroconiferyl alcohol
458-35-5,coniferyl alcohol
32811-40-8,(E)-coniferyl alcohol
69056-21-9,(Z)-coniferyl alcohol
,5-isopropyl-methoxy-2-methyl-phenol (unkn.str.) (=methoxycarvacrol (unkn.str.))
91-16-7,"1,2-dimethoxybenzene (=veratrole)"
151-10-0,"1,3-dimethoxybenzene (=resorcinol dimethyl ether)"
150-78-7,"1,4-dimethoxybenzene"
78259-41-3,foeniculin
4463-33-6,"1,2-dimethoxy-3-methylbenzene"
24599-58-4,"1,4-dimethoxy-2-methylbenzene"
5673-07-4,"1,3-dimethoxy-2-methylbenzene"
494-99-5,"1,2-dimethoxy-4-methylbenzene"
4179-19-5,"1,3-dimethoxy-5-methylbenzene"
1125-88-8,dimethoxymethylbenzene
5888-51-7,"4-ethyl-1,2-dimethoxybenzene"
6380-23-0,"1,2-dimethoxy-4-vinylbenzene (=3,4-dimethoxystyrene)"
83103-62-2,dimethoxy-vinylbenzene (unkn.str.)
4132-76-7,"1,2-dimethoxy-4-propylbenzene"
3698-23-5,"1-allyl-2,4-dimethoxybenzene"
93-15-2,"methyleugenol (=4-allyl-1,2-dimethoxybenzene)"
93-16-3,"methylisoeugenol (=1,2-dimethoxy-4-(1-propenyl)benzene)"
6380-24-1,"(Z)-1,2-dimethoxy-4-(1-propenyl)-benzene (=(Z)-methylisoeugenol)"
6379-72-2,"(E)-1,2-dimethoxy-4-(1-propenyl)benzene (=(E)-methylisoeugenol)"
73105-29-0,dimethoxypropenylbenzene (unkn.str.)
59056-76-7,"4-butyl-1,2-dimethoxybenzene"
68719-73-3,"4-(1-butenyl)-1,2-dimethoxybenzene"
137390-71-7,"(Z)-4-(1-butenyl)-1,2-dimethoxybenzene"
76252-28-3,"(E)-4-(1-butenyl)-1,2-dimethoxybenzene"
56633-34-2,"4-(1,3-butadienyl)-1,2-dimethoxybenzene"
88909-06-2,"(Z)-4-(1,3-butadienyl)-1,2-dimethoxybenzene"
75560-74-6,"(E)-4-(1,3-butadienyl)-1,2-dimethoxybenzene"
67233-95-8,1-ethoxy-1-(4-methoxyphenyl)ethane
20920-83-6,2-(ethoxymethyl)phenol
90422-07-4,4-(1-ethoxyethyl)-phenol
6331-23-3,4-(1-ethoxyethyl)-2-methoxyphenol
274-09-9,"1,3-benzodioxole"
94-59-7,"5-allyl-1,3-benzodioxole (=safrole)"
120-58-1,"5-(1-propenyl)-1,3-benzodioxole (=isosafrole)"
17627-76-8,(Z)-isosafrole
4043-71-4,(E)-isosafrole
7784-67-0,1-ethoxy-2-methoxy-4-(1-propenyl)benzene
149849-39-8,(Z)-1-ethoxy-2-methoxy-4-(1-propenyl)benzene
137138-52-4,(E)-1-ethoxy-2-methoxy-4-(1-propenyl)benzene
74368-00-6,4-allyl-1-ethoxy-2-methoxybenzene
,diethoxy-methylbenzene (unkn.str.)
,diethoxy-ethylbenzene (unkn.str.)
634-36-6,"1,2,3-trimethoxybenzene"
135-77-3,"1,2,4-trimethoxybenzene"
621-23-8,"1,3,5-trimethoxybenzene"
63744-60-5,trimethoxybenzene (unkn.str.)
533-73-3,"1,2,4-benzenetriol (=hydroxyhydroquinone)"
87-66-1,"1,2,3-benzenetriol (=pyrogallol)"
108-73-6,"1,3,5-benzenetriol (=phloroglucinol)"
91-10-1,"2,6-dimethoxyphenol (=syringol)"
6638-05-7,"2,6-dimethoxy-4-methylphenol (=4-methylsyringol)"
14059-92-8,"4-ethyl-2,6-dimethoxyphenol (=4-ethylsyringol)"
28343-22-8,"2,6-dimethoxy-4-vinylphenol (=4-vinylsyringol)"
6766-82-1,"2,6-dimethoxy-4-propylphenol (=4-propylsyringol)"
53667-10-0,"4-isopropyl-2,6-dimethoxyphenol (=4-isopropylsyringol)"
90377-06-3,"4-allyl-2,5-dimethoxyphenol"
6627-88-9,"4-allyl-2,6-dimethoxyphenol (=5-methoxyeugenol)"
