CAS Number,Compound Name
62238-37-3,2-methyl-3-penten-1-ol
22508-64-1,4-methyl-4-penten-1-ol
63468-05-3,2-methyl-3-penten-2-ol
2088-07-5,2-methyl-1-penten-3-ol
918-85-4,3-methyl-1-penten-3-ol
4798-45-2,4-methyl-1-penten-3-ol
27522-11-8,2-ethyl-1-pentanol
,ethyl-1-pentanol (unkn.str.)
597-49-9,3-ethyl-3-pentanol
2370-12-9,"2,2-dimethyl-1-pentanol"
600-36-2,"2,4-dimethyl-3-pentanol"
625-06-9,"2,4-dimethyl-2-pentanol"
,"2,4-dimethylpentanol (unkn.str.)"
6570-87-2,"3,4-dimethyl-1-pentanol"
38514-13-5,3-ethyl-4-methyl-1-pentanol
106-67-2,2-ethyl-4-methyl-1-pentanol
14202-62-1,"2,2-diethyl-1-pentanol"
123-44-4,"2,2,4-trimethyl-1-pentanol"
625-69-4,"2,4-pentanediol"
107-41-5,"2-methyl-2,4-pentanediol"
111-27-3,1-hexanol
626-93-7,2-hexanol
26549-24-6,(R)-2-hexanol
52019-78-0,(S)-2-hexanol
623-37-0,3-hexanol
25917-35-5,hexanol (unkn.str.)
2305-21-7,2-hexen-1-ol
7319-23-5,"3-hexene-2,5-diol"
928-95-0,(E)-2-hexen-1-ol
928-94-9,(Z)-2-hexen-1-ol
544-12-7,3-hexen-1-ol
928-96-1,(Z)-3-hexen-1-ol (=leaf alcohol)
928-97-2,(E)-3-hexen-1-ol
6126-50-7,4-hexen-1-ol
928-91-6,(Z)-4-hexen-1-ol
928-92-7,(E)-4-hexen-1-ol
821-41-0,5-hexen-1-ol
4798-44-1,1-hexen-3-ol
28261-03-2,hexenol (unkn.str.)
,hexen-1-ol (unkn.str.)
111-28-4,"2,4-hexadien-1-ol"
17102-64-6,"(E,E)-2,4-hexadienol"
3280-51-1,"3,5-hexadien-2-ol"
624-22-6,2-methyl-1-hexanol
24448-19-9,3-ethyl-2-hexanol
13231-81-7,3-methyl-1-hexanol
818-49-5,4-methyl-1-hexanol
627-98-5,5-methyl-1-hexanol
61949-26-6,methyl-1-hexanol (unkn.str.)
625-23-0,2-methyl-2-hexanol
2313-65-7,3-methyl-2-hexanol
2313-61-3,4-methyl-2-hexanol
627-59-8,5-methyl-2-hexanol
617-29-8,2-methyl-3-hexanol
623-55-2,5-methyl-3-hexanol
104-76-7,2-ethyl-1-hexanol
41065-95-6,3-ethyl-1-hexanol
42328-76-7,"2,4-dimethyl-2-hexanol"
3452-97-9,"3,5,5-trimethyl-1-hexanol"
70771-72-1,3-methyl-2-hexen-1-ol
25913-88-6,2-methyl-5-hexen-1-ol
29594-61-4,2-ethylhexen-1-ol (unkn.str.)
35671-15-9,"(S)-3-ethenyl-2,5-dimethyl-4-hexen-2-ol (=santolina alcohol)"
86227-45-4,"3-ethoxy-2,4-dimethyl-4-hexen-1-ol"
19889-92-0,"(2E)-2,5-dimethyl-4-vinyl-2,5-hexadien-1-ol (=lyratol)"
2935-44-6,"2,5-hexanediol"
111-70-6,1-heptanol
19549-72-5,"2,4-dimethyl-3-heptanol"
543-49-7,2-heptanol
6033-24-5,(R)-2-heptanol
6033-23-4,(S)-2-heptanol
589-82-2,3-heptanol
589-55-9,4-heptanol
53535-33-4,heptanol (unkn.str.)
789431-25-0,1-hepten-1-ol
22104-77-4,2-hepten-1-ol
33467-76-4,(E)-2-hepten-1-ol
10606-47-0,3-hepten-1-ol
1708-81-2,(Z)-3-hepten-1-ol
2108-05-6,(E)-3-hepten-1-ol
20851-55-2,4-hepten-1-ol
6191-71-5,(Z)-4-hepten-1-ol
117186-38-6,1-hepten-2-ol
66642-85-1,4-hepten-2-ol
34146-55-9,(Z)-4-hepten-2-ol
124753-74-8,(R)-(Z)-4-hepten-2-ol
124753-75-9,(S)-(Z)-4-hepten-2-ol
58927-81-4,(E)-4-hepten-2-ol
4938-52-7,1-hepten-3-ol
3521-91-3,1-hepten-4-ol
62488-55-5,"2,4-heptadien-1-ol"
33467-79-7,"(E,E)-2,4-heptadien-1-ol"
2883-45-6,"1,6-heptadien-4-ol"
60435-70-3,2-methyl-1-heptanol
1070-32-2,3-methyl-1-heptanol
1653-40-3,6-methyl-1-heptanol (=isooctanol)
625-25-2,2-methyl-2-heptanol
31367-46-1,3-methyl-2-heptanol
56298-90-9,4-methyl-2-heptanol
54630-50-1,5-methyl-2-heptanol
4730-22-7,6-methyl-2-heptanol
,methyl-2-heptanol (unkn.str.)
19780-40-6,5-ethyl-2-heptanol
5582-82-1,3-methyl-3-heptanol
18720-66-6,6-methyl-3-heptanol
598-01-6,4-methyl-4-heptanol
51174-83-5,methylheptanol (unkn.str.)
53372-16-0,6-methyl-2-hepten-1-ol
13175-35-4,6-methyl-5-hepten-1-ol
1569-60-4,6-methyl-5-hepten-2-ol
4234-93-9,"2,6-dimethyl-5-hepten-1-ol"
1335-09-7,methylheptenol (unkn.str.)
108-82-7,"2,6-dimethyl-4-heptanol"
54460-99-0,"4-ethyl-2,6-dimethyl-4-heptanol"
29887-38-5,artemisia alcohol
26127-98-0,"(E)-2,5,5-trimethyl-3,6-heptadien-2-ol"
3710-31-4,"1,2-heptanediol"
51945-98-3,"1,5-heptadiene-3,4-diol"
111-87-5,1-octanol
123-96-6,2-octanol
6169-06-8,(S)-(+)-2-octanol
5978-70-1,(R)-(-)-2-octanol
589-98-0,3-octanol
589-62-8,4-octanol
29063-28-3,octanol (unkn.str.)
22104-78-5,2-octen-1-ol
18409-17-1,(E)-2-octen-1-ol
26001-58-1,(Z)-2-octen-1-ol
18185-81-4,3-octen-1-ol
20125-84-2,(Z)-3-octen-1-ol
20125-85-3,(E)-3-octen-1-ol
,3-octenol (unkn.str.)
54393-36-1,(Z)-4-octen-1-ol
67700-26-9,4-octen-1-ol
90200-83-2,5-octen-1-ol
64275-73-6,(Z)-5-octen-1-ol
142382-43-2,1-octen-2-ol
57648-55-2,(E)-3-octen-2-ol
69668-89-9,(Z)-3-octen-2-ol
59529-75-8,5-octen-2-ol
55968-41-7,(Z)-5-octen-2-ol
3391-86-4,1-octen-3-ol
3687-48-7,(R)-(-)-1-octen-3-ol
24587-53-9,(S)-(+)-1-octen-3-ol
53907-72-5,7-octen-4-ol
60621-20-7,octenol (unkn.str.)
72755-76-1,1-ethenylhexylhydroperoxide
83861-75-0,"2,5-octadien-1-ol"
67548-44-1,"(Z,Z)-2,5-octadien-1-ol"
23578-51-0,"2,7-octadien-1-ol"
90112-43-9,"3,5-octadien-1-ol"
70664-96-9,"(E,Z)-3,5-octadien-1-ol"
10573-34-9,"(E,E)-3,5-octadien-1-ol"
83861-74-9,"1,5-octadien-3-ol"
50306-18-8,"(Z)-1,5-octadien-3-ol"
50306-14-4,"(E)-1,5-octadien-3-ol"
128292-62-6,(Z)-1-ethenyl-3-hexenylhydroperoxide
88898-99-1,"(E,E)-3,5-octadien-3-ol"
73456-83-4,octadienol (unkn.str.)
818-81-5,2-methyl-1-octanol
59734-23-5,5-methyloctan-4-ol
2430-22-0,7-methyl-1-octanol
20592-10-3,2-ethyl-1-octanol
3913-02-8,2-butyl-1-octanol
75935-83-0,2-isobutyl-1-octanol
19780-79-1,2-hexyl-1-octanol
15250-22-3,"2,7-dimethyl-1-octanol"
106-21-8,"3,7-dimethyl-1-octanol (=tetrahydrogeraniol)"
18479-59-9,2-methyl-6-methylene-2-octanol
5340-36-3,3-methyl-3-octanol
151-19-9,"3,6-dimethyl-3-octanol"
18479-49-7,"3,7-dimethyl-1-octen-3-ol (=6,7-dihydrolinalool)"
56065-43-1,"4,6-dimethyl-4-octanol"
40575-41-5,2-methyl-4-octanol
19781-13-6,"4,7-dimethyl-4-octanol"
18479-51-1,"1,2-dihydrolinalool"
22410-74-8,"2,7-dimethyl-2,6-octadien-1-ol"
57072-58-9,"2-methyl-6-methylene-2,7-octadien-1-ol"
,"5-ethoxy-3,7-dimethyl-1,6-octadien-3-ol"
95694-06-7,"(E)-7-ethoxy-3,7-dimethyl-1,5-octadien-3-ol"
,"3,7-dimethyl-2,5,7-octatrien-1-ol"
206115-88-0,"(E,E)-2,6-dimethyl-3,5,7-octatrien-2-ol"
133946-27-7,"(E,Z)-2,6-dimethyl-3,5,7-octatrien-2-ol"
29414-56-0,"2,6-dimethyl-1,5,7-octatrien-3-ol"
39900-51-1,"(Z)-2,6-dimethyl-1,5,7-octatrien-3-ol"
29957-43-5,"3,7-dimethyl-1,5,7-octatrien-3-ol (=hotrienol)"
86286-86-4,"(Z)-3,7-dimethyl-1,5,7-octatrien-3-ol (=cis-hotrienol)"
53834-70-1,(E)-hotrienol
20053-88-7,"(R)-(E)-3,7-dimethylocta-1,5,7-trien-3-ol"
23433-05-8,"1,3-octanediol"
,"3,7-dimethylocta-1,5-dien-3,7-diol"
120727-18-6,"(R)-(+)-1,3-octanediol"
629-41-4,"1,8-octanediol"
187874-12-0,"5-octene-1,3-diol"
71677-24-2,"(Z)-5-octene-1,3-diol"
130272-38-7,"[R-(Z)]- 5-octene-1,3-diol"
71677-23-1,"(E)-5-octene-1,3-diol"
107-74-4,"3,7-dimethyl-1,7-octanediol (=hydroxycitronellol)"
