CAS Number,Compound Name
11063-78-8,trans-linalool oxide (unkn.str.)
,"(R*,R)-6,7-epoxylinalool"
,"(R*,S)-6,7-epoxylinalool"
104069-31-0,"(R*,3R,6R)-epoxylinalool oxide D"
104759-66-2,"(S*,3R,6R)-epoxylinalool oxide D"
104017-68-7,"(S*,3S,6R)-epoxylinalool oxide C"
104069-30-9,"(R*,3S,6R)-epoxylinalool oxide C"
,di(ep)oxylinalool (unkn.str.)
56752-50-2,"trans-linalool oxide (6), acetate"
56779-64-7,"cis-linalool oxide (6), acetate"
,nerolidol oxide (unkn.str.)
,α-bisabolol oxide (unkn.str.)
22567-36-8,α-bisabolol oxide A
26184-88-3,α-bisabolol oxide B
,bisabolol oxide (unkn.str.)
33933-72-1,"2,2,6-trimethyl-6-vinyl-tetrahydro-3-pyrone"
,"2,6,6-trimethyl-2-vinyl-tetrahydro-3-pyrone"
100-73-2,"3,4-dihydro-2H-pyran-2-carbaldehyde"
53897-26-0,"5,6-dihydro-2H-pyran-2-carbaldehyde"
504-31-4,"2-pyrone (=α-pyrone, 2H-pyran-2-one)"
23079-71-2,5-pentyl-2-pyrone
496-64-0,3-hydroxy-2-pyrone
73692-69-0,3-hydroxy-6-methyl-2H-pyran-2-one
771-03-9,3-acetyl-4-hydroxy-6-methyl-2-pyrone
58985-73-2,α-bisabolone oxide A
,α-bisabolone oxide (unkn.str.)
,bisabolone oxide (unkn.str.)
108-97-4,4-pyrone (=γ-pyrone)
118-71-8,maltol
4940-11-8,2-ethyl-3-hydroxy-4-pyrone (=ethyl maltol)
4780-14-7,3-methoxy-2-methyl-4-pyrone
644-46-2,5-hydroxy-2-methyl-4-pyrone
38877-21-3,dihydromaltol
1190108-03-2,dihydroethylmaltol
28564-83-2,"2,3-dihydro-3,5-dihydroxy-6-methyl-4-pyrone (=5,6-dihydro-5-hydroxymaltol)"
1073-96-7,"3,5-dihydroxy-2-methyl-4-pyrone (=5-hydroxymaltol)"
,dimethylpyrone (unkn.str.)
103-75-3,"2-ethoxy-3,4-dihydro-1,2-pyran"
1920-21-4,"3,4-dihydro-2,5-dimethyl-2H-pyran-2-carbaldehyde"
500-05-0,2-oxo-2H-pyran-5-carboxylic acid (=coumalic acid)
,ethyl pyranoate (unkn.str.)
24588-61-2,"methyl 5,6-dihydro-3,4-dimethyl-2H-pyran-6-carboxylate"
130021-99-7,"(E)-cis-4-methyl-2-(3-methyl-1,3-butadienyl)oxepane (=cis-quince oxepane)"
131320-18-8,"(E)-trans-4-methyl-2-(3-methyl-1,3-butadienyl)oxepane (=trans-quince oxepane)"
130021-98-6,"4-methyl-2-(3-methyl-1,3-butadienyl)-2,3,6,7-tetrahydrooxepin (=quince oxepin)"
,"germacrene D, epoxide (unkn.str.)"
119-84-6,"3,4-dihydrocoumarin"
1200-93-7,"3,4-dihydro-8-hydroxy-3-methylisocoumarin"
58116-28-2,edulan I
58116-29-3,edulan II
72468-40-7,edulan III
72746-44-2,dihydroedulan
63335-66-0,dihydroedulan I
41678-32-4,dihydroedulan II
,"4,4a-epoxy-4,4a-dihydroedulan"
,3-hydroxyedulan
5552-30-7,"6,7,8,8a-tetrahydro-2,5,5,8a-tetramethyl-5H-1-benzopyran"
59-02-9,α-tocopherol
58864-81-6,α-tocotrienol
16698-35-4,β-tocopherol
54-28-4,γ-tocopherol
119-13-1,δ-tocopherol
25612-59-3,δ-tocotrienol
14101-61-2,γ-tocotrienol
91-64-5,coumarin (=2H-1-benzopyran-2-one)
92-48-8,6-methylcoumarin
1333-47-7,methylcoumarin (unkn.str.)
93-35-6,7-hydroxycoumarin (=umbelliferone)
531-59-9,7-methoxycoumarin (=herniarin)
523-59-1,seselin
14957-38-1,"7-[(6,7-dihydroxy-3,7-dimethyl-2-octenyl)oxy]coumarin (=marmin)"
305-01-1,"6,7-dihydroxycoumarin (=aesculetin)"
486-35-1,"7,8-dihydroxycoumarin"
92-61-5,7-hydroxy-6-methoxycoumarin (=scopoletin)
487-06-9,"5,7-dimethoxycoumarin (=limettin, citropten)"
120-08-1,"6,7-dimethoxycoumarin"
495-02-3,7-geranoxycoumarin (=aurapten C19H22O3)
21499-17-2,epoxyaurapten
2747-05-9,7-acetoxy-4-methylcoumarin
5980-07-4,8-(2-formyl-2-methylpropyl)-7-methoxycoumarin
581-31-7,7-methoxy-6-(3-methyl-2-butenyl)coumarin (=suberosin)
484-12-8,7-methoxy-8-(3-methyl-2-butenyl)coumarin (=osthol)
17245-25-9,5-methoxy-osthol
484-14-0,7-hydroxy-8-(3-methyl-2-butenyl)-coumarin (=osthenol)
1221-43-8,8-(2-hydroxy-3-methyl-3-butenyl)-7-methoxycoumarin (=auraptenol)
143390-82-3,"5-(2',3'-dihydroxy-3'-methylbutyloxy)-7-methoxycoumarin"
143390-83-4,"5-(2',3'-epoxy-3'-methylbutyloxy)-7-methoxycoumarin"
35590-41-1,5-isopentenoxy-7-methoxycoumarin
7380-39-4,5-geranoxy-7-methoxycoumarin
55085-47-7,"5,6,7-trimethoxycoumarin"
72963-64-5,7-hydroxy-8-methoxy-6-(3-methyl-2-butenyl)coumarin (=apigravin)
10387-50-5,7-(3'-methylbut-2'-enyloxy)coumarin
525-82-6,flavone
480-41-1,(±)-Naringenin
117-39-5,quercetin
520-36-5,apigenin
520-18-3,kaempferol
491-70-3,luteolin
480-40-0,chrysin
520-27-4,diosmin
280748-33-6,"Isoquercitrin, enzymatically modified"
529-44-2,myricetin
446-72-0,genistein
480-19-3,isorhamnetin
38183-03-8,"7,8-Dihydroxyflavone"
1168-42-9,"4',5,6,7-tetramethoxyflavone"
481-53-8,tangeretin
23971-42-8,meranzin
1088-17-1,isomeranzin
5875-49-0,meranzin hydrate
478-01-3,nobiletin
1251-84-9,"3,3',4',5,6,7-hexamethoxyflavone"
1178-24-1,"3,3',4',5,6,7,8-heptamethoxyflavone"
,heptamethoxyflavone (unkn.str.)
2306-27-6,sinensetin
,tetramethylscutellarein
66-97-7,psoralen (=furocoumarin)
486-60-2,5-hydroxypsoralen (=bergaptol)
484-20-8,5-methoxypsoralen (=bergapten)
482-48-4,isobergapten
298-81-7,8-methoxypsoralen (=xanthotoxin)
482-45-1,5-isopentenoxypsoralen (=isoimperatorin)
482-44-0,8-isopentenoxypsoralen (=imperatorin)
26091-73-6,oxypeucedanin
2643-85-8,"5-(2,3-dihydroxyisopentoxy)psoralen (=oxypeucedanin hydrate)"
31575-93-6,heraclenol
2880-49-1,heraclenin
33889-70-2,pabulenol
7380-40-7,5-geranoxypsoralen (=bergamottin)
206978-14-5,epoxybergamottin
,epoxybergamottin hydrate
7437-55-0,8-geranoxypsoralen
143390-87-8,"8-(7',8'-epoxygeranyloxy)psoralen"
,"5-(6-formyl-3,6-dimethyl-2-heptenoxy)psoralen"
,8-hydroxy-5-methoxypsoralen
482-27-9,"5,8-dimethoxypsoralen (=isopimpinellin)"
2543-94-4,8-isopentenoxy-5-methoxypsoralen (=phellopterin)
26091-79-2,byakangelicol
35214-82-5,neobyakangelicol
482-25-7,"8-(2,3-dihydroxyisopentoxy)-5-methoxypsoralen (=byak-angelicin)"
117030-02-1,"5-(isopent-2-enyloxy)-8-(2,3-epoxyisopentoxy)psoralen"
14348-21-1,cnidicin
143390-86-7,"5-(3'-methylbut-2'-enyloxy)-8-(2',3'-dihydroxy-3'-methylbutyloxy)psoralen"
,5-geranoxy-8-methoxypsoralen
17182-52-4,5-methoxy-8-geranyloxypsoralen
70610-24-1,"6,7-dihydro-8-hydroxy-7-isopropenylpsoralen (=apiumetin)"
13895-92-6,"6,7-dihydro-8-hydroxy-7-(1-hydroxy-1-methylethyl)psoralen (=rutaretin)"
,"5[(1,6-epoxy-3,7-dimethyl-oct-2-enyl)oxy]psoralen"
16194-31-3,"1,3,3-trimethyl-2,7-dioxa-bicyclo[2.2.1]heptane"
286-20-4,7-oxabicyclo[4.1.0]heptane
84024-93-1,"1,5-dimethyl-6,8-dioxa-bicyclo[3.2.1]octane"
90580-80-6,"7,7-dimethyl-6,8-dioxabicyclo[3.2.1]octane"
79925-90-9,"exo-7-butyl-5-methyl-6,8-dioxabicyclo[3.2.1]octane"
4575-53-5,"(Z)-2-(2,4-hexadiynylidene)-1,6-dioxaspiro[4.4]non-3-ene (=en-yn-dicyclo ether)"
30483-86-4,"2,7-dimethyl-1,6-dioxa-spiro[4.4]nonane"
15031-05-7,"2,2,7,7-tetramethyl-1,6-dioxa-spiro[4.4]non-3-ene (=dihydrospiroacetal)"
15129-55-2,"2,2,7,7-tetramethyl-1,6-dioxa-spiro[4.4]nona-3,8-diene (=spiroacetal)"
177-10-6,"1,4-dioxaspiro[4.5]decane"
,"6,7-epoxytheaspirane"
53398-90-6,dihydro-6-hydroxytheaspirane
36431-72-8,theaspirane
43126-21-2,theaspirane B (=cis-theaspirane)
43126-22-3,theaspirane A (=trans-theaspirane)
66537-40-4,"(2R,5S)-theaspirane B (=(2R-cis)-theaspirane)"
130404-02-3,"(2S,5R)-theaspirane B (=(2S-cis)-theaspirane)"
66537-39-1,"(2S,5S)-theaspirane A (=(2S-trans)-theaspirane)"
130404-01-2,"(2R,5R)-theaspirane A (=(2R-trans)-theaspirane)"
65416-59-3,vitispirane
99881-85-3,cis-vitispirane
99944-79-3,trans-vitispirane
596-84-9,manoyl oxide
1227-93-6,13-epimanoyl oxide
112418-55-0,"3-α-14,15-dihydromanoyl oxide"
1231-34-1,2-keto-manoyl oxide
646-06-0,"1,3-dioxolane"
497-26-7,"2-methyl-1,3-dioxolane"
2568-96-9,"2-ethyl-1,3-dioxolane"
3390-13-4,"2-propyl-1,3-dioxolane"
3390-12-3,"2,4-dimethyl-1,3-dioxolane"
100760-25-6,"cis-2,4-dimethyl-1,3-dioxolane"
100760-26-7,"trans-2,4-dimethyl-1,3-dioxolane"
4359-46-0,"2-ethyl-4-methyl-1,3-dioxolane"
73506-89-5,"ethylmethyl-1,3-dioxolane (unkn.str.)"
4352-99-2,"4-methyl-2-propyl-1,3-dioxolane"
67879-60-1,"2-isopropyl-4-methyl-1,3-dioxolane"
24382-64-7,"2-isopropyl-4,5-dimethyl-1,3-dioxolane"
74094-60-3,"2-butyl-4-methyl-1,3-dioxolane"
122045-45-8,"cis-2-isobutyl-4-methyl-1,3-dioxolane"
122045-43-6,"trans-2-isobutyl-4-methyl-1,3-dioxolane"
26563-75-7,"trans-4-methyl-2-pentyl-1,3-dioxolane"
1193-11-9,"2,2,4-trimethyl-1,3-dioxolane"
18433-93-7,"2-isobutyl-4-methyl-1,3-dioxolane"
1599-49-1,"4-methyl-2-pentyl-1,3-dioxolane"
2568-25-4,"4-methyl-2-phenyl-1,3-dioxolane"
3299-32-9,"2,4,5-trimethyl-1,3-dioxolane"
29923-84-0,"5-ethyl-2,4-dimethyl-1,3-dioxolane"
24382-63-6,"2-ethyl-4,5-dimethyl-1,3-dioxolane"
6414-34-2,"4,5-dimethyl-2-propyl-1,3-dioxolane"
83584-14-9,"2-isobutyl-4,5-dimethyl-1,3-dioxolane"
,"cis-4-hydroxy-2-methyl-1,3-dioxolane"
,"trans-4-hydroxy-2-methyl-1,3-dioxolane"
3773-93-1,"4-(hydroxymethyl)-2-methyl-1,3-dioxolane"
3674-21-3,"cis-4-(hydroxymethyl)-2-methyl-1,3-dioxolane"
3674-22-4,"trans-4-(hydroxymethyl)-2-methyl-1,3-dioxolane"
4744-00-7,"2,5-dimethyl-1,3-dioxolan-4-one"
626-68-6,"2-methyl-1,3-dioxane"
1120-97-4,"4-methyl-1,3-dioxane"
766-20-1,"2,4-dimethyl-1,3-dioxane"
,"5-hydroxy-2-methyl-1,3-dioxane"
3674-23-5,"cis-5-hydroxy-2-methyl-1,3-dioxane"
3674-24-6,"trans-5-hydroxy-2-methyl-1,3-dioxane"
123-91-1,"1,4-dioxane"
,dioxane (unkn.str.)
,"ethyl methyl 1,4-dioxane (unkn.str.)"
19693-75-5,"2-methoxy-1,3-dioxolane"
95-96-5,dilactide
53338-05-9,ambersage
123-63-7,"2,4,6-trimethyl-1,3,5-trioxane (=paraldehyde)"
2781-01-3,"2-methyl-1,3,6-trioxocane"
,naphthodioxane (unkn.str.)
16499-05-1,"7,8-dihydro-8,8-dimethylbenzo-[1,2,b:5,4,b']dipyran-2,6-dione (=graveolone)"
58917-35-4,gomerol
